"מק""ט חלופי","תיאור פריט","דגם","צבע","מידה","מחלקה","מחיר מכירה","מחירון 1","סה""כ מלאי","ראשי","מכולה וינגייט","רמת גן","ספורט & מור רמלה","WIX","קוד דגם","קבוצה","פריט","ברקוד"
"0008127010030","W PWSKIN ST 2.0","W PWSKIN ST 2.0 FBSLOB LTD EDITION","","30","ביגוד","399.99","399.987","","","","","","","00081270100","672- ב.ים מקצועי נשים","8127010030","8127010030"
"0008127010032","W PWSKIN ST 2.0","W PWSKIN ST 2.0 FBSLOB LTD EDITION","","32","ביגוד","399.99","399.987","","","","","","","00081270100","672- ב.ים מקצועי נשים","8127010032","8127010032"
"0008127010034","W PWSKIN ST 2.0","W PWSKIN ST 2.0 FBSLOB LTD EDITION","","34","ביגוד","399.99","399.987","","","","","","","00081270100","672- ב.ים מקצועי נשים","8127010034","8127010034"
"0008127010036","W PWSKIN ST 2.0","W PWSKIN ST 2.0 FBSLOB LTD EDITION","","36","ביגוד","399.99","399.987","","","","","","","00081270100","672- ב.ים מקצועי נשים","8127010036","8127010036"
"0008127010038","W PWSKIN ST 2.0","W PWSKIN ST 2.0 FBSLOB LTD EDITION","","38","ביגוד","399.99","399.987","","","","","","","00081270100","672- ב.ים מקצועי נשים","8127010038","8127010038"
"0008145010060","M PWSKIN ST 2.0","M PWSKIN ST 2.0 JAMMER LTD EDITION","","60","ביגוד","260.01","260.015","","","","","","","00081450100","673- ב.ים מקצועי גבר","8145010060","8145010060"
"0008145010065","M PWSKIN ST 2.0","M PWSKIN ST 2.0 JAMMER LTD EDITION","","65","ביגוד","260.01","260.015","","","","","","","00081450100","673- ב.ים מקצועי גבר","8145010065","8145010065"
"0008145010070","M PWSKIN ST 2.0","M PWSKIN ST 2.0 JAMMER LTD EDITION","","70","ביגוד","260.01","260.015","","","","","","","00081450100","673- ב.ים מקצועי גבר","8145010070","8145010070"
"0008145010075","M PWSKIN ST 2.0","M PWSKIN ST 2.0 JAMMER LTD EDITION","","75","ביגוד","260.01","260.015","","","","","","","00081450100","673- ב.ים מקצועי גבר","8145010075","8145010075"
"0008145010080","M PWSKIN ST 2.0","M PWSKIN ST 2.0 JAMMER LTD EDITION","","80","ביגוד","260.01","260.015","","","","","","","00081450100","673- ב.ים מקצועי גבר","8145010080","8145010080"
"0008147010060","M PWSKIN ST 2.0","M PWSKIN ST 2.0 JAMMER LTD EDITION","","60","ביגוד","260.01","260.015","","","","","","","00081470100","673- ב.ים מקצועי גבר","8147010060","8147010060"
"0008147010065","M PWSKIN ST 2.0","M PWSKIN ST 2.0 JAMMER LTD EDITION","","65","ביגוד","260.01","260.015","","","","","","","00081470100","673- ב.ים מקצועי גבר","8147010065","8147010065"
"0008147010070","M PWSKIN ST 2.0","M PWSKIN ST 2.0 JAMMER LTD EDITION","","70","ביגוד","260.01","260.015","","","","","","","00081470100","673- ב.ים מקצועי גבר","8147010070","8147010070"
"0008147010075","M PWSKIN ST 2.0","M PWSKIN ST 2.0 JAMMER LTD EDITION","","75","ביגוד","260.01","260.015","","","","","","","00081470100","673- ב.ים מקצועי גבר","8147010075","8147010075"
"0008147010080","M PWSKIN ST 2.0","M PWSKIN ST 2.0 JAMMER LTD EDITION","","80","ביגוד","260.01","260.015","","","","","","","00081470100","673- ב.ים מקצועי גבר","8147010080","8147010080"
"0009055000060","W PWSKIN CARBON","W PWSKIN CARBON FLEX VX JAMMER E-ADAM","","60","ביגוד","999.96","999.96","","","","","","","00090550000","673- ב.ים מקצועי גבר","9055000060","9055000060"
"0009055000065","W PWSKIN CARBON","W PWSKIN CARBON FLEX VX JAMMER E-ADAM","","65","ביגוד","999.96","999.96","","","","","","","00090550000","673- ב.ים מקצועי גבר","9055000065","9055000065"
"0009055000070","W PWSKIN CARBON","W PWSKIN CARBON FLEX VX JAMMER E-ADAM","","70","ביגוד","999.96","999.96","","","","","","","00090550000","673- ב.ים מקצועי גבר","9055000070","9055000070"
"0009055010060","W PWSKIN CARBON","W PWSKIN CARBON FLEX VX JAMMER E-GREGORIO","","60","ביגוד","999.96","999.96","","","","","","","00090550100","673- ב.ים מקצועי גבר","9055010060","9055010060"
"0009055010065","W PWSKIN CARBON","W PWSKIN CARBON FLEX VX JAMMER E-GREGORIO","","65","ביגוד","999.96","999.96","","","","","","","00090550100","673- ב.ים מקצועי גבר","9055010065","9055010065"
"0009055010070","W PWSKIN CARBON","W PWSKIN CARBON FLEX VX JAMMER E-GREGORIO","","70","ביגוד","999.96","999.96","","","","","","","00090550100","673- ב.ים מקצועי גבר","9055010070","9055010070"
"0009057900060","W PWSKIN CARBON","W PWSKIN CARBON FLEX VX JAMMER E-SARAH","","60","ביגוד","999.96","999.96","","","","","","","00090579000","673- ב.ים מקצועי גבר","9057900060","9057900060"
"0009057900065","W PWSKIN CARBON","W PWSKIN CARBON FLEX VX JAMMER E-SARAH","","65","ביגוד","999.96","999.96","","","","","","","00090579000","673- ב.ים מקצועי גבר","9057900065","9057900065"
"0009057900070","W PWSKIN CARBON","W PWSKIN CARBON FLEX VX JAMMER E-SARAH","","70","ביגוד","999.96","999.96","","","","","","","00090579000","673- ב.ים מקצועי גבר","9057900070","9057900070"
"9155414/TU","כובע סיליקון תחרותי","כובע סיליקון תחרותי 3 מיימדים-כסף/שחור","","Os","ציוד","62.00","61.9975","","","","","","","9155414","(14502)אביזרי שחיה","9155414000","9155414000"
"9155471/TU","כובע סיליקון תחרותי","כובע סיליקון תחרותי 3 מיימדים-כחול/לבן","","Os","ציוד","62.00","61.9975","","","","","","","9155471","(14502)אביזרי שחיה","9155471000","9155471000"
"9165641/TU","כובע סיליקון תחרותי","כובע סיליקון תחרותי אולטרה ארנה","","Os","ציוד","68.96","68.9639","","","","","","","9165641","(14502)אביזרי שחיה","9165641000","9165641000"
"9165654/TU","כובע סיליקון תחרותי","כובע סיליקון תחרותי אולטרה ארנה","","Os","ציוד","68.96","68.9639","","","","","","","9165654","(14502)אביזרי שחיה","9165654000","9165654000"
"9165659/TU","כובע סיליקון תחרותי","כובע סיליקון תחרותי אולטרה ארנה","","Os","ציוד","68.24","68.2389","","","","","","","9165659","(14502)אביזרי שחיה","9165659000","9165659000"
"9165674/TU","כובע סיליקון תחרותי","כובע סיליקון תחרותי אולטרה ארנה","","Os","ציוד","82.01","82.0134","","","","","","","9165674","(14502)אביזרי שחיה","9165674000","9165674000"
"9183033/TU","כובע סיליקון מודפס פ","כובע סיליקון מודפס פוליש(אוזניות)","","Os","ציוד","39.56","39.56","","","","","","","9183033","(14502)אביזרי שחיה","9183033000","9183033000"
"9183040/TU","כובע סיליקון מודפס","כובע סיליקון מודפס","","Os","ציוד","","","","","","","","","9183040","(14502)אביזרי שחיה","9183040000","9183040000"
"0009215010030","W PWSKIN CARBON","W PWSKIN CARBON FLEX VX FBSLOB E-GREGORIO","","30","ביגוד","1,400.04","1400.04","","","","","","","00092150100","672- ב.ים מקצועי נשים","9215010030","9215010030"
"0009215010032","W PWSKIN CARBON","W PWSKIN CARBON FLEX VX FBSLOB E-GREGORIO","","32","ביגוד","1,400.04","1400.04","","","","","","","00092150100","672- ב.ים מקצועי נשים","9215010032","9215010032"
"0009215010034","W PWSKIN CARBON","W PWSKIN CARBON FLEX VX FBSLOB E-GREGORIO","","34","ביגוד","1,400.04","1400.04","","","","","","","00092150100","672- ב.ים מקצועי נשים","9215010034","9215010034"
"0009215440028","W PWSKIN CARBON","W PWSKIN CARBON FLEX VX FBSLOB E-KATINKA","","28","ביגוד","1,400.04","1400.04","","","","","","","00092154400","672- ב.ים מקצועי נשים","9215440028","9215440028"
"0009215440030","W PWSKIN CARBON","W PWSKIN CARBON FLEX VX FBSLOB E-KATINKA","","30","ביגוד","1,400.04","1400.04","","","","","","","00092154400","672- ב.ים מקצועי נשים","9215440030","9215440030"
"0009215440032","W PWSKIN CARBON","W PWSKIN CARBON FLEX VX FBSLOB E-KATINKA","","32","ביגוד","1,400.04","1400.04","","","","","","","00092154400","672- ב.ים מקצועי נשים","9215440032","9215440032"
"0009215440034","W PWSKIN CARBON","W PWSKIN CARBON FLEX VX FBSLOB E-KATINKA","","34","ביגוד","1,400.04","1400.04","","","","","","","00092154400","672- ב.ים מקצועי נשים","9215440034","9215440034"
"0009217900028","W PWSKIN CARBON","W PWSKIN CARBON FLEX VX FBSLOB E-SARAH","","28","ביגוד","1,400.04","1400.04","","","","","","","00092179000","672- ב.ים מקצועי נשים","9217900028","9217900028"
"0009217900030","W PWSKIN CARBON","W PWSKIN CARBON FLEX VX FBSLOB E-SARAH","","30","ביגוד","1,400.04","1400.04","","","","","","","00092179000","672- ב.ים מקצועי נשים","9217900030","9217900030"
"0009217900032","W PWSKIN CARBON","W PWSKIN CARBON FLEX VX FBSLOB E-SARAH","","32","ביגוד","1,400.04","1400.04","","","","","","","00092179000","672- ב.ים מקצועי נשים","9217900032","9217900032"
