"#","פריט","שם פריט","מחיר מכירה","מלאי","ראשי","מכולה וינגייט","רמת גן","ספורט & מור רמלה","WIX"
"1401","3468335383682","מכנס ים קלאסי אפור","119.90","","","","","",""
"1402","3468335385945","מכנס ים לוגו ארנה אד","119.90","","","","","",""
"1403","3468335385952","מכנס ים לוגו ארנה אד","119.90","","","","","",""
"1404","3468335385969","מכנס ים לוגו ארנה אד","119.90","","","","","",""
"1405","3468335385976","מכנס ים לוגו ארנה אד","119.90","","","","","",""
"1406","3468335385983","מכנס ים לוגו ארנה אד","119.90","","","","","",""
"1407","3468335385990","מכנס ים לוגו ארנה שח","119.90","","","","","",""
"1408","3468335386003","מכנס ים לוגו ארנה שח","119.90","","","","","",""
"1409","3468335386010","מכנס ים לוגו ארנה שח","119.90","","","","","",""
"1410","3468335386027","מכנס ים לוגו ארנה שח","119.90","","","","","",""
"1411","3468335386034","מכנס ים לוגו ארנה שח","119.90","","","","","",""
"1412","3468335386195","מכנס ים לוגו ארנה ני","119.90","","","","","",""
"1413","3468335386201","מכנס ים לוגו ארנה ני","119.90","","","","","",""
"1414","3468335386218","מכנס ים לוגו ארנה ני","119.90","","","","","",""
"1415","3468335386225","מכנס ים לוגו ארנה ני","119.90","","","","","",""
"1416","3468335386232","מכנס ים לוגו ארנה ני","119.90","","","","","",""
"1417","3468335386997","מכנס ים קלאסי ילד שח","79.90","","","","","",""
"1418","3468335387000","מכנס ים קלאסי ילד שח","79.90","","","","","",""
"1419","3468335387017","מכנס ים קלאסי ילד שח","79.90","","","","","",""
"1420","3468335387024","מכנס ים קלאסי ילד שח","79.90","","","","","",""
"1421","3468335387031","מכנס ים קלאסי ילד שח","79.90","","","","","",""
"1422","3468335387093","מכנס ים קלאסי ילד ני","79.90","","","","","",""
"1423","3468335387109","מכנס ים קלאסי ילד ני","79.90","","","","","",""
"1424","3468335387116","מכנס ים קלאסי ילד ני","79.90","","","","","",""
"1425","3468335387123","מכנס ים קלאסי ילד ני","79.90","","","","","",""
"1426","3468335387130","מכנס ים קלאסי ילד ני","79.90","","","","","",""
"1427","3468335390857","משקפת CRUISER SOFT נ","89.90","","","","","",""
"1428","3468335391274","משקפת X-SIGHT 2","139.90","","","","","",""
"1429","3468335391465","PULLKICK PRO BL","79.90","-2","-2","","","",""
"1430","3468335391649","Spider Jr Mirror","89.90","","","","","",""
"1431","3468335392233","כובע PRINT 2","39.90","","","","","",""
"1432","3468335394565","תיק BACKPACK FASTPAC","259.90","","","","","",""
"1433","3468335394572","תיק BACKPACK FASTPAC","259.90","","","","","",""
"1434","3468335420080","W VERTIGO ONE P","279.90","","","","","",""
"1435","3468335420097","W VERTIGO ONE P","279.90","","","","","",""
"1436","3468335420103","W VERTIGO ONE P","279.90","","","","","",""
"1437","3468335420110","W VERTIGO ONE P","279.90","","","","","",""
"1438","3468335420127","W VERTIGO ONE P","279.90","","","","","",""
"1439","3468335420134","W VERTIGO ONE P","279.90","","","","","",""
"1440","3468335420141","W VERTIGO ONE P","279.90","","","","","",""
"1441","3468335441092","ARENA WATER BOT","59.00","","","","","",""
"1442","3468335445533","משקפת IMAX 3-כחול/כח","119.90","","","","","",""
"1443","3468335462615","מעיל רוח","199.90","2","1","1","","",""
"1444","3468335462622","מעיל רוח","199.90","","","","","",""
"1445","3468335462639","מעיל רוח","199.90","3","","3","","",""
"1446","3468335462646","מעיל רוח","199.90","5","3","2","","",""
"1447","3468335462653","מעיל רוח","199.90","4","1","3","","",""
"1448","3468335462660","מעיל רוח","199.90","1","","1","","",""
"1449","3468335462677","מעיל רוח3XL","199.90","2","1","1","","",""
"1450","3468335477183","מכנס ים לוגו ארנה שח","119.90","","","","","",""
"1451","3468335477220","מכנס ים לוגו ארנה ני","119.90","","","","","",""
"1452","3468335484266","כובע סיליקון MOULDED","","","","","","",""
"1453","3468335502182","W TL HOODED JAC","179.00","","","","","",""
"1454","3468335502199","W TL HOODED JAC","179.00","12","","12","","",""
"1455","3468335502205","W TL HOODED JAC","179.00","","","","","",""
"1456","3468335502212","W TL HOODED JAC","249.90","1","","1","","",""
"1457","3468335502595","TL S/S TEE-WHIT","120.00","","","","","",""
"1458","3468335502601","TL S/S TEE-WHIT","89.90","","","","","",""
"1459","3468335502618","TL S/S TEE-WHIT","89.90","","","","","",""
"1460","3468335502625","TL S/S TEE-WHITE","120.00","","","","","",""
"1461","3468335502663","TL S/S TEE RED","89.90","","","","","",""
"1462","3468335502670","TL S/S TEE RED","89.90","","","","","",""
"1463","3468335502687","TL S/S TEE RED","89.90","","","","","",""
"1464","3468335502755","TL S/S TEE BLAC","89.90","","","","","",""
"1465","3468335502762","TL S/S TEE BLAC","89.90","","","","","",""
"1466","3468335502779","TL S/S TEE BLAC","89.90","","","","","",""
"1467","3468335502786","TL S/S TEE BLAC","89.90","","","","","",""
"1468","3468335502793","TL S/S TEE BLAC","89.90","","","","","",""
"1469","3468335502809","TL S/S TEE BLAC","89.90","","","","","",""
"1470","3468335502915","TL S/S TEE-NAVY","89.90","","","","","",""
"1471","3468335502922","TL S/S TEE-NAVY","89.90","","","","","",""
"1472","3468335502939","TL S/S TEE-NAVY","89.90","","","","","",""
"1473","3468335502946","TL S/S TEE-NAVY","89.90","","","","","",""
"1474","3468335502953","TL S/S TEE-NAVY","89.90","","","","","",""
"1475","3468335502991","TL S/S TEE-ROYA","89.90","","","","","",""
"1476","3468335503004","TL S/S TEE-ROYA","89.90","","","","","",""
"1477","3468335503011","TL S/S TEE-ROYA","89.90","","","","","",""
"1478","3468335503028","TL S/S TEE-ROYA","89.90","","","","","",""
"1479","3468335503035","TL S/S TEE-ROYA","89.90","","","","","",""
"1480","3468335503042","TL S/S TEE-ROYA","89.90","","","","","",""
"1481","3468335503332","2XSTL TECH S/S TEE-W","120.00","2","1","","1","",""
"1482","3468335503349","TL TECH S/S TEE","120.00","","","","","",""
"1483","3468335503356","TL TECH S/S TEE","140.00","","","","","",""
"1484","3468335503363","TL TECH S/S TEE","140.00","","","","","",""
"1485","3468335503370","TL TECH S/S TEE","120.00","","","","","",""
"1486","3468335503387","TL TECH S/S TEE","140.00","","","","","",""
"1487","3468335503394","TL TECH S/S TEE","120.00","","","","","",""
"1488","3468335503400","2XSTL TECH S/S TEE R","120.00","-1","-1","","","",""
"1489","3468335503417","TL TECH S/S TEE","","2","2","","","",""
"1490","3468335503424","TL TECH S/S TEE","","3","3","","","",""
"1491","3468335503431","TL TECH S/S TEE חולצ","","","","","","",""
"1492","3468335503448","TL TECH S/S TEE","","","","","","",""
"1493","3468335503455","TL TECH S/S TEE","","5","5","","","",""
"1494","3468335503462","TL TECH S/S TEE","120.00","1","1","","","",""
"1495","3468335503479","2XSTL TECH S/S TEE-B","140.00","","","","","",""
"1496","3468335503486","TL TECH S/S TEE","119.90","","","","","",""
"1497","3468335503493","TL TECH S/S TEE","140.00","","","","","",""
"1498","3468335503509","TL TECH S/S TEE","140.00","","","","","",""
"1499","3468335503516","TL TECH S/S TEE","129.00","","","","","",""
"1500","3468335503523","TL TECH S/S TEE","129.00","","","","","",""
"1501","3468335503530","TL TECH S/S TEE","129.00","","","","","",""
"1502","3468335503547","2XSTL TECH S/S TEE-N","120.00","","","","","",""
"1503","3468335503554","TL TECH S/S TEE","119.90","","","","","",""
"1504","3468335503561","TL TECH S/S TEE","119.90","","","","","",""
"1505","3468335503578","TL TECH S/S TEE","119.90","","","","","",""
"1506","3468335503585","TL TECH S/S TEE","129.00","","","","","",""
"1507","3468335503592","TL TECH S/S TEE","129.00","","","","","",""
"1508","3468335503608","TL TECH S/S TEE","129.00","","","","","",""
"1509","3468335503615","TL TECH S/S TEE","119.90","1","1","","","",""
"1510","3468335503622","TL TECH S/S TEE","119.90","2","2","","","",""
"1511","3468335503639","TL TECH S/S TEE","119.90","","","","","",""
"1512","3468335503646","TL TECH S/S TEE","119.90","2","2","","","",""
"1513","3468335503653","TL TECH S/S TEE","119.90","2","2","","","",""
"1514","3468335503660","TL TECH S/S TEE","119.90","1","1","","","",""
"1515","3468335503677","TL TECH S/S TEE","119.90","","","","","",""
"1516","3468335503684","2XSTL S/S POLO WHITE","120.00","","","","","",""
"1517","3468335503691","TL S/S POLO WHI","119.90","","","","","",""
"1518","3468335503707","TL S/S POLO WHI","119.90","","","","","",""
"1519","3468335503714","TL S/S POLO WHI","119.90","","","","","",""
"1520","3468335503721","TL S/S POLO WHI","120.00","1","","","1","",""
"1521","3468335503738","TL S/S POLO WHI","119.90","","","","","",""
"1522","3468335503745","TL S/S POLO WHI","119.90","4","","4","","",""
"1523","3468335503752","TL S/S POLO WHI","119.90","3","","3","","",""
"1524","3468335503844","2XSTL S/S POLO BLACK","120.00","2","1","","1","",""
"1525","3468335503851","TL S/S POLO BLA","120.00","1","","","1","",""
"1526","3468335503868","TL S/S POLO BLA","120.00","2","1","","1","",""
"1527","3468335503875","TL S/S POLO BLA","120.00","1","","","1","",""
"1528","3468335503882","TL S/S POLO BLA","120.00","1","","","1","",""
"1529","3468335503899","TL S/S POLO BLA","120.00","1","","","1","",""
"1530","3468335503905","2XLTL S/S POLO BLACK","120.00","1","","","1","",""
"1531","3468335503912","TL S/S POLO BLA","120.00","2","","","2","",""
"1532","3468335503929","2XSTL S/S POLO GREY","120.00","3","2","","1","",""
"1533","3468335503936","TL S/S POLO GRE","120.00","2","1","","1","",""
"1534","3468335503943","TL S/S POLO GRE","120.00","2","1","","1","",""
"1535","3468335503950","TL S/S POLO GRE","120.00","1","","","1","",""
"1536","3468335503967","TL S/S POLO GRE","120.00","1","","","1","",""
"1537","3468335503974","TL S/S POLO GRE","120.00","1","","","1","",""
"1538","3468335503981","2XLTL S/S POLO GREY","120.00","1","","","1","",""
"1539","3468335503998","TL S/S POLO GRE","120.00","1","","","1","",""
"1540","3468335504001","2XSTL S/S POLO NAVY","120.00","1","","","1","",""
"1541","3468335504018","TL S/S POLO NAV","120.00","3","2","","1","",""
"1542","3468335504025","TL S/S POLO NAV","120.00","1","","","1","",""
"1543","3468335504032","TL S/S POLO NAV","120.00","1","","","1","",""
"1544","3468335504049","TL S/S POLO NAV","120.00","1","","","1","",""
"1545","3468335504056","TL S/S POLO NAV","120.00","1","","","1","",""
"1546","3468335504063","2XLTL S/S POLO NAVY","120.00","","","","","",""
"1547","3468335504070","TL S/S POLO NAV","120.00","","","","","",""
"1548","3468335504087","2XSTL S/S POLO ROYAL","120.00","1","","","1","",""
"1549","3468335504094","TL S/S POLO ROY","120.00","","","","","",""
"1550","3468335504100","TL S/S POLO ROY","120.00","","","","","",""
"1551","3468335504117","TL S/S POLO ROY","120.00","","","","","",""
"1552","3468335504124","TL S/S POLO ROY","120.00","","","","","",""
"1553","3468335504131","TL S/S POLO ROY","120.00","","","","","",""
"1554","3468335504148","2XLTL S/S POLO ROYAL","120.00","","","","","",""
"1555","3468335504155","TL S/S POLO ROY","120.00","","","","","",""
"1556","3468335504179","TL HOODIE WHITE","179.90","","","","","",""
"1557","3468335504186","TL HOODIE WHITE","179.90","","","","","",""
"1558","3468335504193","TL HOODIE WHITE","179.90","","","","","",""
"1559","3468335504209","TL HOODIE WHITE","179.90","","","","","",""
"1560","3468335504216","TL HOODIE WHITE","179.90","","","","","",""
"1561","3468335504315","TL HOODIE","179.90","","","","","",""
"1562","3468335504322","TL HOODIE","179.90","","","","","",""
"1563","3468335504339","TL HOODIE","179.90","","","","","",""
"1564","3468335504346","TL HOODIE","179.90","","","","","",""
"1565","3468335504353","TL HOODIE","179.90","","","","","",""
"1566","3468335504360","TL HOODIE","179.90","","","","","",""
"1567","3468335504391","TL HOODIE MEDIU","179.90","","","","","",""
"1568","3468335504407","TL HOODIE MEDIU","179.90","","","","","",""
"1569","3468335504414","TL HOODIE MEDIU","179.90","","","","","",""
"1570","3468335504421","TL HOODIE MEDIU","179.90","","","","","",""
"1571","3468335504452","TL HOODIE NAVY","179.90","","","","","",""
"1572","3468335504469","TL HOODIE NAVY","179.90","","","","","",""
"1573","3468335504476","TL HOODIE NAVY","179.90","","","","","",""
"1574","3468335504483","TL HOODIE NAVY","179.90","","","","","",""
"1575","3468335504490","TL HOODIE NAVY","179.90","","","","","",""
