,פריט,שם פריט,מלאי,מלאי,מלאי,מלאי,מלאי,מלאי
126,3468335503899,TL S/S POLO BLACK,1,0,1,0,0,0
127,3468335503905,2XLTL S/S POLO BLACK,1,0,1,0,0,0
128,3468335503912,TL S/S POLO BLACK,2,0,2,0,0,0
129,3468335503929,2XSTL S/S POLO GREY,3,2,1,0,0,0
130,3468335503936,TL S/S POLO GREY,2,1,1,0,0,0
131,3468335503943,TL S/S POLO GREY,2,1,1,0,0,0
132,3468335503950,TL S/S POLO GREY,1,0,1,0,0,0
133,3468335503967,TL S/S POLO GREY,1,0,1,0,0,0
134,3468335503974,TL S/S POLO GREY,1,0,1,0,0,0
135,3468335503981,2XLTL S/S POLO GREY,1,0,1,0,0,0
136,3468335503998,TL S/S POLO GREY,1,0,1,0,0,0
137,3468335504001,2XSTL S/S POLO NAVY,1,0,1,0,0,0
138,3468335504018,TL S/S POLO NAVY,3,2,1,0,0,0
139,3468335504025,TL S/S POLO NAVY,1,0,1,0,0,0
140,3468335504032,TL S/S POLO NAVY,1,0,1,0,0,0
141,3468335504049,TL S/S POLO NAVY,1,0,1,0,0,0
142,3468335504056,TL S/S POLO NAVY,1,0,1,0,0,0
143,3468335504087,2XSTL S/S POLO ROYAL,1,0,1,0,0,0
144,3468335504520,TL HOODED JACKET WHITE,5,1,0,4,0,0
145,3468335504551,TL HOODED JACKET WHITE,4,1,0,3,0,0
146,3468335504568,TL HOODED JACKET WHITE,4,0,0,4,0,0
147,3468335504575,TL HOODED JACKET WHITE,8,1,0,7,0,0
148,3468335504582,TL HOODED JACKET WHITE,3,0,0,3,0,0
149,3468335504605,TL HOODED JACKET RED,9,1,0,8,0,0
150,3468335504612,TL HOODED JACKET,9,0,0,9,0,0
151,3468335504629,TL HOODED JACKET,9,0,0,9,0,0
152,3468335504636,TL HOODED JACKET RED,9,1,0,8,0,0
153,3468335504643,TL HOODED JACKET RED,9,1,0,8,0,0
154,3468335504650,2XLTL HOODED JACKET RED,9,1,0,8,0,0
155,3468335504667,TL HOODED JACKET RED,3,0,0,3,0,0
156,3468335504681,	TL HOODED JACKET-BLACK	,1,0,1,0,0,0
157,3468335504735, XXL TL HOODED JACKET-BLACK,19,1,0,18,0,0
158,3468335504742,TL HOODED JACKET-BLACK,3,1,0,2,0,0
159,3468335504766,TL HOODED JACKET-NAVY,10,0,1,9,0,0
160,3468335504773,TL HOODED JACKET-NAVY,9,2,0,5,2,0
161,3468335504780,TL HOODED JACKET-NAVY,3,1,0,2,0,0
162,3468335504797,TL HOODED JACKET-NAVY,4,1,0,3,0,0
163,3468335504803,TL HOODED JACKET-NAVY,1,0,1,0,0,0
164,3468335504810,TL HOODED JACKET-NAVY,4,1,0,3,0,0
165,3468335504827,3XLTL HOODED JACKET-NAVY,3,0,0,3,0,0
166,3468335504841,TL HOODED JACKET,10,2,0,8,0,0
167,3468335504858,TL HOODED JACKET,7,0,0,7,0,0
168,3468335504865,TL HOODED JACKET ROYAL,4,1,0,3,0,0
169,3468335504889,TL HOODED JACKET ROYAL,4,0,0,4,0,0
170,3468335504896,TL HOODED JACKET ROYAL,9,2,0,7,0,0
171,3468335504902,TL HOODED JACKET ROYAL,3,0,0,3,0,0
172,3468335505220,TL BERMUDA -BLACK,1,0,1,0,0,0
173,3468335505244,TL BERMUDA -BLACK,5,3,2,0,0,0
174,3468335505268,TL BERMUDA -BLACK,1,0,1,0,0,0
175,3468335505275,TL BERMUDA -BLACK,1,1,0,0,0,0
176,3468335505411,TL BERMUDA -ROYAL,1,0,1,0,0,0
177,3468335505428,TL BERMUDA -ROYAL,1,0,1,0,0,0
178,3468335505435,TL BERMUDA -ROYAL,1,0,1,0,0,0
179,3468335505459,TL WARM UP JACKET RED-GREY,10,1,1,8,0,0
180,3468335505466,TL WARM UP JACKET RED-GREY,9,0,0,9,0,0
181,3468335505473,TL WARM UP JACKET RED-GREY,9,1,0,8,0,0
182,3468335505480,TL WARM UP JACKET RED-GREY,10,1,1,8,0,0
183,3468335505497,TL WARM UP JACKET RED-GREY,9,0,0,9,0,0
184,3468335505503,2XLTL WARM UP JACKET RED-GREY,9,1,0,8,0,0
185,3468335505510,TL WARM UP JACKET RED-GREY,3,1,0,2,0,0
186,3468335505534,	TL WARM UP JACKET -BLACK/GREY	,1,0,1,0,0,0
187,3468335505541,TL WARM UP JACKET -BLACK/GREY,1,0,1,0,0,0
188,3468335505558,TL WARM UP JACKET -BLACK/GREY,1,0,1,0,0,0
189,3468335505565,TL WARM UP JACKET -BLACK/GREY,8,0,1,7,0,0
190,3468335505572,TL WARM UP JACKET -BLACK/GREY,15,0,1,14,0,0
191,3468335505589,TL WARM UP JACKET -BLACK/GREY,20,0,1,19,0,0
192,3468335505596,TL WARM UP JACKET -BLACK/GREY,4,0,1,3,0,0
193,3468335505619,TL S/S POLO חולצת פולו קבוצות,7,7,0,0,0,0
194,3468335505626,TL WARM UP JACKET NAVY-GREY,7,7,0,0,0,0
195,3468335505640,TL WARM UP JACKET NAVY-GREY,3,3,0,0,0,0
196,3468335505657,TL WARM UP JACKET NAVY-GREY,6,0,0,6,0,0
197,3468335505664,TL WARM UP JACKET NAVY-GREY,13,1,1,11,0,0
198,3468335505671,TL WARM UP JACKET NAVY-GREY,4,1,1,2,0,0
199,3468335505695,TL WARM UP JACKET-ROYAL/GREY,6,0,0,6,0,0
200,3468335505701,TL WARM UP JACKET-ROYAL/GREY,3,1,0,2,0,0
201,3468335505718,TL WARM UP JACKET-ROYAL/GREY,6,1,0,5,0,0
202,3468335505725,TL WARM UP JACKET-ROYAL/GREY,18,0,0,18,0,0
