"מק""ט",תאור,ברקוד,תאור לועזי,סטטוס,טיפוס,לטיפול,יח' קניה/מכירה,משפחת מוצר/קוד מיון,תאור משפחה,פריט מרכז?,ספק מועדף,שם ספק,סרגל מידות,שם סרגל מידות,מחיר מקור לצרכן,מטבע המחירון,מחיר קניה,מטבע קניה,"מחיר בסיס כולל מע""מ",מחיר במחירון POS,"מחיר כולל מע""מ POS",פריט מקביל,מותג11,תאור פרמטר 11 למוצר,דיויזן12,תאור פרמטר 12 למוצר,מגדר13,תאור פרמטר 13 למוצר,עונה/שנה14,תאור פרמטר 14 למוצר,עונה15,תאור פרמטר 15 למוצר,ספורט ענף17,במחסן מחלקה19,קוד מיון אליטל,צבע,תאור צבע,סטטוס בפריוריטי
AR009019660,ARENA ZEPPELIN LIGHT ROBE,AR009019660,ARENA ZEPPELIN LIGHT ROBE,פעיל,R,revital_m,יח',00611,ציוד אימונים ארנה,Y,3100310055,ARENA ITALIA SPA,74,ארנה,269,שח,13.43,EUR,317.42,227.97,269,009019660,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,660,DARK SAGE-ARTIC LIME,חדש
AR009019710,ARENA ZEPPELIN LIGHT ROBE,AR009019710,ARENA ZEPPELIN LIGHT ROBE,פעיל,R,revital_m,יח',00611,ציוד אימונים ארנה,Y,3100310055,ARENA ITALIA SPA,74,ארנה,269,שח,13.43,EUR,317.42,227.97,269,009019710,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,710,NAVY-WHITE,חדש
AR009019810,ARENA ZEPPELIN LIGHT ROBE,AR009019810,ARENA ZEPPELIN LIGHT ROBE,פעיל,R,revital_m,יח',00611,ציוד אימונים ארנה,Y,3100310055,ARENA ITALIA SPA,74,ארנה,269,שח,13.43,EUR,317.42,227.97,269,009019810,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,810,ROYAL-WHITE,חדש
AR009019990,ARENA ZEPPELIN LIGHT ROBE,AR009019990,ARENA ZEPPELIN LIGHT ROBE,פעיל,R,revital_m,יח',00611,ציוד אימונים ארנה,Y,3100310055,ARENA ITALIA SPA,74,ארנה,269,שח,13.43,EUR,317.42,227.97,269,009019990,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,990,SHOCKING PINK-WATER,חדש
AR009029501,ARENA TEAM STRIPE ROBE,AR009029501,ARENA TEAM STRIPE ROBE,פעיל,R,revital_m,יח',00611,ציוד אימונים ארנה,Y,3100310055,ARENA ITALIA SPA,74,ארנה,289,שח,14.55,EUR,341.02,244.92,289,009029501,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,501,BLACK-WHITE,חדש
AR009029710,ARENA TEAM STRIPE ROBE,AR009029710,ARENA TEAM STRIPE ROBE,פעיל,R,revital_m,יח',00611,ציוד אימונים ארנה,Y,3100310055,ARENA ITALIA SPA,74,ארנה,289,שח,14.55,EUR,341.02,244.92,289,009029710,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,710,NAVY-WHITE,חדש
AR009029810,ARENA TEAM STRIPE ROBE,AR009029810,ARENA TEAM STRIPE ROBE,פעיל,R,revital_m,יח',00611,ציוד אימונים ארנה,Y,3100310055,ARENA ITALIA SPA,74,ארנה,289,שח,14.55,EUR,341.02,244.92,289,009029810,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,810,ROYAL-WHITE,חדש
AR009034206,ARENA COMPACT MICROFIBER ROBE,AR009034206,ARENA COMPACT MICROFIBER ROBE,פעיל,R,revital_m,יח',00611,ציוד אימונים ארנה,Y,3100310055,ARENA ITALIA SPA,74,ארנה,219,שח,11.19,EUR,258.42,185.59,219,009034206,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,206,ARTIC LIME-ROYAL,חדש
AR009034607,ARENA COMPACT MICROFIBER ROBE,AR009034607,ARENA COMPACT MICROFIBER ROBE,פעיל,R,revital_m,יח',00611,ציוד אימונים ארנה,Y,3100310055,ARENA ITALIA SPA,74,ארנה,219,שח,11.19,EUR,258.42,185.59,219,009034607,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,607,BLUE COSMO-NAVY,חדש
AR009034710,ARENA COMPACT MICROFIBER ROBE,AR009034710,ARENA COMPACT MICROFIBER ROBE,פעיל,R,revital_m,יח',00611,ציוד אימונים ארנה,Y,3100310055,ARENA ITALIA SPA,74,ארנה,219,שח,11.19,EUR,258.42,185.59,219,009034710,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,710,NAVY-WHITE,חדש
AR009034801,ARENA COMPACT MICROFIBER ROBE,AR009034801,ARENA COMPACT MICROFIBER ROBE,פעיל,R,revital_m,יח',00611,ציוד אימונים ארנה,Y,3100310055,ARENA ITALIA SPA,74,ארנה,219,שח,11.19,EUR,258.42,185.59,219,009034801,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,801,NEON BLUE-WHITE,חדש
AR009034910,ARENA COMPACT MICROFIBER ROBE,AR009034910,ARENA COMPACT MICROFIBER ROBE,פעיל,R,revital_m,יח',00611,ציוד אימונים ארנה,Y,3100310055,ARENA ITALIA SPA,74,ארנה,219,שח,11.19,EUR,258.42,185.59,219,009034910,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,910,SHOCKING PINK-WHITE,חדש
AR009039710,ARENA ZEPPELIN LIGHT JR ROBE,AR009039710,ARENA ZEPPELIN LIGHT JR ROBE,פעיל,R,revital_m,יח',00611,ציוד אימונים ארנה,Y,3100310055,ARENA ITALIA SPA,24,ארנה פעוטות 0<4-5,209,שח,10.52,EUR,246.62,177.12,209,009039710,40029,ארנה,14,ציוד,33,נוער/ילדים,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,710,NAVY-WHITE,חדש
AR009039810,ARENA ZEPPELIN LIGHT JR ROBE,AR009039810,ARENA ZEPPELIN LIGHT JR ROBE,פעיל,R,revital_m,יח',00611,ציוד אימונים ארנה,Y,3100310055,ARENA ITALIA SPA,24,ארנה פעוטות 0<4-5,209,שח,10.52,EUR,246.62,177.12,209,009039810,40029,ארנה,14,ציוד,33,נוער/ילדים,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,810,TURQUOISE-WHITE,חדש
AR009039910,ARENA ZEPPELIN LIGHT JR ROBE,AR009039910,ARENA ZEPPELIN LIGHT JR ROBE,פעיל,R,revital_m,יח',00611,ציוד אימונים ארנה,Y,3100310055,ARENA ITALIA SPA,24,ארנה פעוטות 0<4-5,209,שח,10.52,EUR,246.62,177.12,209,009039910,40029,ארנה,14,ציוד,33,נוער/ילדים,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,910,SHOCKING PINK-WHITE,חדש
AR009042610,ARENA ZEAL JR ROBE,AR009042610,ARENA ZEAL JR ROBE,פעיל,R,revital_m,יח',00611,ציוד אימונים ארנה,Y,3100310055,ARENA ITALIA SPA,24,ארנה פעוטות 0<4-5,199,שח,10.07,EUR,234.82,168.64,199,009042610,40029,ארנה,14,ציוד,33,נוער/ילדים,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,610,ARTIC LIME-WHITE,חדש
