משפחה,ספק מועדף,מקט ספק פרמטר 4,מקט,תיאור פריט,תיאור פריט,צבע,מותג,דויזן,מגדר,עונה/שנה,עונה,מאפיין,ענף ספורט end use,רויאלטיז,מחלקה במחסן,מגה תת קבוצה,סרגל,,מחיר בסיס/מחיר צרכן קטלוגי,סוג חלוקה,מחיר קנייה EUR,קוד מטבע,תקן עלות ₪,קוד מיון אליטל,מחירון 1/סיטונאי קטלוגי,מחירון 2/סיטונאי נטו,מחירון 3/צרכן רשת,מחירון 4/ סיטונאי MGS
00609,3100310055,002507106,AR002507106,COBRA ULTRA SWIPE MR,COBRA ULTRA SWIPE MR,106,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,339,,16.79,EUR,,UNIT,170,,339,
00609,3100310055,002507107,AR002507107,COBRA ULTRA SWIPE MR,COBRA ULTRA SWIPE MR,107,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,339,,16.79,EUR,,UNIT,170,,339,
00609,3100310055,002507350,AR002507350,COBRA ULTRA SWIPE MR,COBRA ULTRA SWIPE MR,350,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,339,,16.79,EUR,,UNIT,170,,339,
00609,3100310055,002507370,AR002507370,COBRA ULTRA SWIPE MR,COBRA ULTRA SWIPE MR,370,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,339,,16.79,EUR,,UNIT,170,,339,
00609,3100310055,002507550,AR002507550,COBRA ULTRA SWIPE MR,COBRA ULTRA SWIPE MR,550,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,339,,16.79,EUR,,UNIT,170,,339,
00609,3100310055,002508110,AR002508110,COBRA TRI SWIPE MR,COBRA TRI SWIPE MR,110,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,359,,17.9,EUR,,UNIT,180,,359,
00609,3100310055,002508355,AR002508355,COBRA TRI SWIPE MR,COBRA TRI SWIPE MR,355,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,359,,17.9,EUR,,UNIT,180,,359,
00600,3100310055,002699410,AR002699410,M RELAX IV TEAM PANT,M RELAX IV TEAM PANT,410,40029,12,31,SS27,SS,,SWIM,,UNIT,,74,,259,,12.76,EUR,,UNIT,130,,259,
00600,3100310055,002699510,AR002699510,M RELAX IV TEAM PANT,M RELAX IV TEAM PANT,510,40029,12,31,SS27,SS,,SWIM,,UNIT,,74,,259,,12.76,EUR,,UNIT,130,,259,
00600,3100310055,002699710,AR002699710,M RELAX IV TEAM PANT,M RELAX IV TEAM PANT,710,40029,12,31,SS27,SS,,SWIM,,UNIT,,74,,259,,12.76,EUR,,UNIT,130,,259,
00600,3100310055,002699810,AR002699810,M RELAX IV TEAM PANT,M RELAX IV TEAM PANT,810,40029,12,31,SS27,SS,,SWIM,,UNIT,,74,,259,,12.76,EUR,,UNIT,130,,259,
00616,3100310055,002701410,AR002701410,M T-SHIRT TEAM,M T-SHIRT TEAM,410,40029,12,31,SS27,SS,,SWIM,,UNIT,,74,,169,,8.5,EUR,,UNIT,84,,169,
00616,3100310055,002701510,AR002701510,M T-SHIRT TEAM,M T-SHIRT TEAM,510,40029,12,31,SS27,SS,,SWIM,,UNIT,,74,,169,,8.5,EUR,,UNIT,84,,169,
00616,3100310055,002701710,AR002701710,M T-SHIRT TEAM,M T-SHIRT TEAM,710,40029,12,31,SS27,SS,,SWIM,,UNIT,,74,,169,,8.5,EUR,,UNIT,84,,169,
00616,3100310055,002701810,AR002701810,M T-SHIRT TEAM,M T-SHIRT TEAM,810,40029,12,31,SS27,SS,,SWIM,,UNIT,,74,,169,,8.5,EUR,,UNIT,84,,169,
00616,3100310055,002723410,AR002723410,M RELAX IV TEAM JACKET,M RELAX IV TEAM JACKET,410,40029,12,31,SS27,SS,,SWIM,,UNIT,,74,,299,,15,EUR,,UNIT,150,,299,
00616,3100310055,002723510,AR002723510,M RELAX IV TEAM JACKET,M RELAX IV TEAM JACKET,510,40029,12,31,SS27,SS,,SWIM,,UNIT,,74,,299,,15,EUR,,UNIT,150,,299,
00616,3100310055,002723710,AR002723710,M RELAX IV TEAM JACKET,M RELAX IV TEAM JACKET,710,40029,12,31,SS27,SS,,SWIM,,UNIT,,74,,299,,15,EUR,,UNIT,150,,299,
00616,3100310055,002723810,AR002723810,M RELAX IV TEAM JACKET,M RELAX IV TEAM JACKET,810,40029,12,31,SS27,SS,,SWIM,,UNIT,,74,,299,,15,EUR,,UNIT,150,,299,
00605,3100310055,002878390,AR002878390,G ARENA KIKKO SWIMSUIT SWIM PRO BACK,G ARENA KIKKO SWIMSUIT SWIM PRO BACK,390,40029,12,33,SS27,SS,,SWIM,,UNIT,,24,,109,,5.6,EUR,,UNIT,54,,109,
