SKU,Article,EAN,Style,Style Description,Colorway,Colorway Description,Segment,Product Type,Consumer Target,Sizes Overview,Size,Made-In,Taric,Collection Type,Carry Over,SWP EUR,RSP EUR
001198_560_36,001198560,3468337967026,001198,W ARENA ONE BIGLOGO ONE PIECE,560,BLACK-BLUE COSMO,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",36,Cambodia,6112419000,Global,Y,22.85714,48
001198_560_38,001198560,3468337967033,001198,W ARENA ONE BIGLOGO ONE PIECE,560,BLACK-BLUE COSMO,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",38,Cambodia,6112419000,Global,Y,22.85714,48
001198_560_40,001198560,3468337967040,001198,W ARENA ONE BIGLOGO ONE PIECE,560,BLACK-BLUE COSMO,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",40,Cambodia,6112419000,Global,Y,22.85714,48
001198_560_42,001198560,3468337967057,001198,W ARENA ONE BIGLOGO ONE PIECE,560,BLACK-BLUE COSMO,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",42,Cambodia,6112419000,Global,Y,22.85714,48
001198_560_44,001198560,3468337967064,001198,W ARENA ONE BIGLOGO ONE PIECE,560,BLACK-BLUE COSMO,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",44,Cambodia,6112419000,Global,Y,22.85714,48
001198_609_30,001198609,3468337870852,001198,W ARENA ONE BIGLOGO ONE PIECE,609,BLUE COSMO-PURPLE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",30,Cambodia,6112419000,Global,Y,22.85714,48
001198_609_32,001198609,3468337870869,001198,W ARENA ONE BIGLOGO ONE PIECE,609,BLUE COSMO-PURPLE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",32,Cambodia,6112419000,Global,Y,22.85714,48
001198_609_34,001198609,3468337870876,001198,W ARENA ONE BIGLOGO ONE PIECE,609,BLUE COSMO-PURPLE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",34,Cambodia,6112419000,Global,Y,22.85714,48
001198_609_36,001198609,3468337870883,001198,W ARENA ONE BIGLOGO ONE PIECE,609,BLUE COSMO-PURPLE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",36,Cambodia,6112419000,Global,Y,22.85714,48
001198_609_38,001198609,3468337870890,001198,W ARENA ONE BIGLOGO ONE PIECE,609,BLUE COSMO-PURPLE,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",38,Cambodia,6112419000,Global,Y,22.85714,48
