,AQUA GLEAM Limited Edition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master Data - Distributors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SKU,Article,EAN,Style,Style Description,Colorway,Colorway Description,Collection Type,Teamline,Teamline Colorway,Carry Over Style,Carry Over Colorway,Segment,Product Type,Usage Environment,Usage Purpose,Consumer Target,Style Composition,Product Sustainability,Item,Lining,Back,Material Subtype,Product Line,Backbone description,Sizes Overview,Size,FRA size,GER size,ITA size,UK size,USA size,Packaging Sustainability,Net Weight,Gross Weight,InnerBox Pcs,Packaging Weight,Packaging Depth,Packaging Height,Packaging Width,Taric,Fedas,Fedas Colorway,Fedas Size Range,Made-In,AINT EUR SWP,AINT EUR RSP
,006342_508_34,006342508,3468339207007,006342,POWERSKIN CARBON AIR2 LE CB,508,AQUA GLEAM,Global,N,N,Y,N,Swimwear,Full body,Pool,Racing,Woman,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",,Short Leg,,Closed,Woven,Carbon Air 2,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body," 28, 30, 32, 34, 36, 38, 40",34,34,32,38,28,28,100% Recycled Paper,120,309,0,189,6.5,17.5,12.5,6211120000,215695,21242,14.15,Italy,188.09523999999999,395
,006342_508_36,006342508,3468339207014,006342,POWERSKIN CARBON AIR2 LE CB,508,AQUA GLEAM,Global,N,N,Y,N,Swimwear,Full body,Pool,Racing,Woman,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",,Short Leg,,Closed,Woven,Carbon Air 2,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body," 28, 30, 32, 34, 36, 38, 40",36,36,34,40,30,30,100% Recycled Paper,120,309,0,189,6.5,17.5,12.5,6211120000,215695,21242,14.15,Italy,188.09523999999999,395
,006342_508_38,006342508,3468339207021,006342,POWERSKIN CARBON AIR2 LE CB,508,AQUA GLEAM,Global,N,N,Y,N,Swimwear,Full body,Pool,Racing,Woman,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",,Short Leg,,Closed,Woven,Carbon Air 2,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body," 28, 30, 32, 34, 36, 38, 40",38,38,36,42,32,32,100% Recycled Paper,120,309,0,189,6.5,17.5,12.5,6211120000,215695,21242,14.15,Italy,188.09523999999999,395
,006342_508_40,006342508,3468339207038,006342,POWERSKIN CARBON AIR2 LE CB,508,AQUA GLEAM,Global,N,N,Y,N,Swimwear,Full body,Pool,Racing,Woman,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",,Short Leg,,Closed,Woven,Carbon Air 2,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body," 28, 30, 32, 34, 36, 38, 40",40,40,38,44,34,34,100% Recycled Paper,120,309,0,189,6.5,17.5,12.5,6211120000,215695,21242,14.15,Italy,188.09523999999999,395
,006342_509_28,006342509,3468339204884,006342,POWERSKIN CARBON AIR2 LE CB,509,RED-WHITE-BLUE,Global,N,N,Y,N,Swimwear,Full body,Pool,Racing,Woman,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",,Short Leg,,Closed,Woven,Carbon Air 2,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body," 28, 30, 32, 34, 36, 38, 40",28,28,26,32,22,22,100% Recycled Paper,120,309,0,189,6.5,17.5,12.5,6211120000,215695,21242,14.15,Italy,188.09523999999999,395
,006342_509_30,006342509,3468339204891,006342,POWERSKIN CARBON AIR2 LE CB,509,RED-WHITE-BLUE,Global,N,N,Y,N,Swimwear,Full body,Pool,Racing,Woman,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",,Short Leg,,Closed,Woven,Carbon Air 2,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body," 28, 30, 32, 34, 36, 38, 40",30,30,28,34,24,24,100% Recycled Paper,120,309,0,189,6.5,17.5,12.5,6211120000,215695,21242,14.15,Italy,188.09523999999999,395
,006342_509_32,006342509,3468339204907,006342,POWERSKIN CARBON AIR2 LE CB,509,RED-WHITE-BLUE,Global,N,N,Y,N,Swimwear,Full body,Pool,Racing,Woman,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",,Short Leg,,Closed,Woven,Carbon Air 2,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body," 28, 30, 32, 34, 36, 38, 40",32,32,30,36,26,26,100% Recycled Paper,120,309,0,189,6.5,17.5,12.5,6211120000,215695,21242,14.15,Italy,188.09523999999999,395
,006342_509_34,006342509,3468339204914,006342,POWERSKIN CARBON AIR2 LE CB,509,RED-WHITE-BLUE,Global,N,N,Y,N,Swimwear,Full body,Pool,Racing,Woman,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",,Short Leg,,Closed,Woven,Carbon Air 2,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body," 28, 30, 32, 34, 36, 38, 40",34,34,32,38,28,28,100% Recycled Paper,120,309,0,189,6.5,17.5,12.5,6211120000,215695,21242,14.15,Italy,188.09523999999999,395
,006342_509_36,006342509,3468339204921,006342,POWERSKIN CARBON AIR2 LE CB,509,RED-WHITE-BLUE,Global,N,N,Y,N,Swimwear,Full body,Pool,Racing,Woman,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",,Short Leg,,Closed,Woven,Carbon Air 2,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body," 28, 30, 32, 34, 36, 38, 40",36,36,34,40,30,30,100% Recycled Paper,120,309,0,189,6.5,17.5,12.5,6211120000,215695,21242,14.15,Italy,188.09523999999999,395
,006342_509_38,006342509,3468339204938,006342,POWERSKIN CARBON AIR2 LE CB,509,RED-WHITE-BLUE,Global,N,N,Y,N,Swimwear,Full body,Pool,Racing,Woman,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",,Short Leg,,Closed,Woven,Carbon Air 2,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body," 28, 30, 32, 34, 36, 38, 40",38,38,36,42,32,32,100% Recycled Paper,120,309,0,189,6.5,17.5,12.5,6211120000,215695,21242,14.15,Italy,188.09523999999999,395
